domain,level,chinese,AoA,n_char
toy,Superordinate,玩具,7.5,2
toy,Basic,娃娃,7.666666666666667,2
toy,Basic,玩偶,8.904761904761905,2
toy,Basic,风筝,7.428571428571429,2
toy,Basic,积木,7.954545454545454,2
toy,Basic,陀螺,8.652173913043478,2
toy,Basic,气球,5.31578947,2
toy,Basic,洋娃娃,7.666666666666667,3
animal,Superordinate,动物,6.294117647058823,2
tool,Superordinate,工具,7.578947368421052,2
tool,Basic,锤子,9.444444444444445,2
tool,Basic,剪刀,6.333333333333333,2
tool,Basic,斧头,7.954545454545454,2
building,Superordinate,建筑,12.391304347826088,2
building,Basic,医院,8.857142857142858,2
building,Basic,学校,7.3,2
building,Basic,商店,8.6875,2
building,Basic,教堂,10.0,2
building,Basic,寺庙,8.75,2
building,Basic,城堡,9.058823529411764,2
building,Basic,宫殿,10.782608695652174,2
building,Basic,博物馆,9.307692307692308,3
building,Basic,图书馆,10.407407407407407,3
building,Basic,车站,8.95,2
building,Basic,机场,10.210526315789474,2
fruit,Superordinate,水果,5.473684210526316,2
fruit,Basic,苹果,6.0,2
fruit,Basic,香蕉,6.782608695652174,2
fruit,Basic,橘子,8.7,2
fruit,Basic,草莓,6.0625,2
fruit,Basic,葡萄,6.739130434782608,2
fruit,Basic,西瓜,5.57894737,2
fruit,Basic,菠萝,6.636363636363637,2
fruit,Basic,柠檬,9.055555555555555,2
fruit,Basic,樱桃,9.65,2
vegetable,Superordinate,蔬菜,5.363636363636363,2
vegetable,Basic,白菜,7.5,2
vegetable,Basic,萝卜,5.545454545454546,2
vegetable,Basic,黄瓜,6.7368421052631575,2
vegetable,Basic,茄子,7.708333333333333,2
vegetable,Basic,番茄,6.45,2
vegetable,Basic,土豆,7.136363636363637,2
vegetable,Basic,辣椒,6.052631578947368,2
vegetable,Basic,胡椒,9.052631578947368,2
vegetable,Basic,洋葱,8.714285714285714,2
vegetable,Basic,菠菜,6.714285714285714,2
dessert,Superordinate,甜点,8.863636363636363,2
dessert,Basic,蛋糕,6.7894736842105265,2
dessert,Basic,饼干,5.7272727272727275,2
dessert,Basic,布丁,9.2,2
dessert,Basic,冰淇淋,6.857142857142857,3
dessert,Basic,巧克力,7.7727272727272725,3
dessert,Basic,糖果,6.2105263157894735,2
dessert,Basic,薄饼,10.0,2
dessert,Basic,月饼,6.636363636363637,2
vehicle,Basic,汽车,5.882352941176471,2
vehicle,Basic,火车,7.647058823529412,2
vehicle,Basic,飞机,8.95,2
vehicle,Basic,轮船,8.3,2
vehicle,Basic,地铁,11.56,2
vehicle,Basic,摩托车,9.25,3
vehicle,Basic,卡车,9.84210526,2
furniture,Superordinate,家具,8.571428571428571,2
furniture,Basic,桌子,6.9411764705882355,2
furniture,Basic,椅子,6.619047619047619,2
furniture,Basic,沙发,9.454545454545455,2
furniture,Basic,衣柜,8.636363636363637,2
furniture,Basic,书桌,8.25,2
furniture,Basic,橱柜,8.318181818181818,2
furniture,Basic,凳子,7.714285714285714,2
furniture,Basic,茶几,10.095238095238095,2
appliance,Superordinate,电器,9.117647058823529,2
appliance,Basic,冰箱,9.954545454545455,2
appliance,Basic,电视,7.318181818181818,2
appliance,Basic,洗衣机,11.0,3
appliance,Basic,空调,8.15,2
appliance,Basic,微波炉,12.173913043478262,3
appliance,Basic,电风扇,8.636363636363637,3
appliance,Basic,吹风机,10.423076923076923,3
stationery,Superordinate,文具,7.473684210526316,2
stationery,Basic,铅笔,6.5,2
stationery,Basic,钢笔,7.84,2
stationery,Basic,橡皮,6.826086956521739,2
stationery,Basic,书包,7.380952380952381,2
stationery,Basic,墨水,9.777777777777779,2
clothing,Superordinate,衣服,5.5,2
clothing,Basic,衬衫,8.782608695652174,2
clothing,Basic,裤子,5.631578947368421,2
clothing,Basic,裙子,6.4375,2
clothing,Basic,外套,7.318181818181818,2
clothing,Basic,毛衣,6.045454545454546,2
clothing,Basic,围巾,7.2105263157894735,2
clothing,Basic,帽子,6.411764705882353,2
instrument,Superordinate,乐器,9.727272727272727,2
instrument,Basic,钢琴,12.0,2
instrument,Basic,小提琴,11.185185185185185,3
instrument,Basic,吉他,10.95,2
instrument,Basic,二胡,8.68421052631579,2
instrument,Basic,琵琶,12.058823529411764,2
beverage,Superordinate,饮料,8.55,2
beverage,Basic,牛奶,7.31578947,2
beverage,Basic,咖啡,10.421052631578947,2
beverage,Basic,果汁,9.722222222222221,2
beverage,Basic,啤酒,10.210526315789474,2
beverage,Basic,茶水,10.45,2
beverage,Basic,汽水,8.894736842105264,2
beverage,Basic,可乐,8.833333333333334,2
beverage,Basic,豆浆,7.708333333333333,2
flower,Superordinate,花卉,9.38095238,2
flower,Basic,玫瑰,7.318181818181818,2
flower,Basic,菊花,7.7,2
flower,Basic,牡丹,7.571428571428571,2
flower,Basic,荷花,7.619047619047619,2
flower,Basic,百合,10.130434782608695,2
food,Superordinate,食物,6.809523809523809,2
food,Basic,米饭,5.0,2
food,Basic,面条,6.411764705882353,2
food,Basic,馒头,5.9,2
food,Basic,饺子,5.52380952,2
food,Basic,面包,6.8,2
food,Basic,包子,7.57894737,2
food,Basic,炒饭,8.5,2
