domain,level,chinese,gloss,from_choe,n_utterances,quantifier_n,quantifier_p,whNP_n,whNP_p,anchor_n,anchor_p,another_n,another_p,labelling_n,labelling_p,definite_n,definite_p
toy,Superordinate,玩具,toy,True,1070,41,0.038317757009345796,145,0.13551401869158877,4,0.003738317757009346,40,0.037383177570093455,63,0.058878504672897194,105,0.09813084112149532
animal,Superordinate,动物,animal,True,507,54,0.10650887573964497,168,0.33136094674556216,12,0.023668639053254437,16,0.03155818540433925,37,0.07297830374753451,20,0.03944773175542406
tool,Superordinate,工具,tool,True,89,3,0.033707865168539325,26,0.29213483146067415,0,0.0,0,0.0,7,0.07865168539325842,5,0.056179775280898875
building,Superordinate,建筑,building,True,5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0
fruit,Superordinate,水果,fruit,True,143,9,0.06293706293706294,32,0.22377622377622378,3,0.02097902097902098,3,0.02097902097902098,7,0.04895104895104895,5,0.03496503496503497
vegetable,Superordinate,蔬菜,vegetable,True,187,22,0.11764705882352941,37,0.19786096256684493,4,0.0213903743315508,0,0.0,7,0.0374331550802139,16,0.0855614973262032
dessert,Superordinate,甜点,dessert,True,14,0,0.0,0,0.0,0,0.0,0,0.0,1,0.07142857142857142,0,0.0
toy,Basic,球,ball (Choe main),True,923,10,0.010834236186348862,97,0.10509209100758396,1,0.0010834236186348862,0,0.0,34,0.03683640303358613,77,0.08342361863488625
toy,Basic,娃娃,doll (Choe repl),True,442,3,0.006787330316742082,43,0.09728506787330317,0,0.0,2,0.004524886877828055,17,0.038461538461538464,45,0.10180995475113122
animal,Basic,猫,cat (Choe main),True,811,16,0.01972872996300863,103,0.12700369913686807,2,0.002466091245376079,4,0.004932182490752158,36,0.04438964241676942,26,0.032059186189889025
animal,Basic,熊,bear (Choe repl),True,1240,28,0.02258064516129032,166,0.1338709677419355,0,0.0,3,0.0024193548387096775,52,0.041935483870967745,19,0.01532258064516129
tool,Basic,叉子,fork (Choe main),True,70,0,0.0,11,0.15714285714285714,0,0.0,0,0.0,4,0.05714285714285714,6,0.08571428571428572
building,Basic,医院,hospital (Choe main),True,303,7,0.0231023102310231,17,0.056105610561056105,1,0.0033003300330033004,0,0.0,7,0.0231023102310231,8,0.026402640264026403
fruit,Basic,草莓,strawberry (Choe main),True,111,2,0.018018018018018018,17,0.15315315315315314,0,0.0,0,0.0,5,0.04504504504504504,4,0.036036036036036036
vegetable,Basic,辣椒,pepper (Choe main),True,59,0,0.0,3,0.05084745762711865,0,0.0,0,0.0,3,0.05084745762711865,2,0.03389830508474576
vegetable,Basic,胡萝卜,carrot (Choe repl),True,181,2,0.011049723756906077,18,0.09944751381215469,1,0.0055248618784530384,0,0.0,8,0.04419889502762431,10,0.055248618784530384
toy,Basic,积木,building blocks,False,481,15,0.031185031185031187,26,0.05405405405405406,4,0.008316008316008316,4,0.008316008316008316,13,0.02702702702702703,47,0.09771309771309772
animal,Basic,狗,dog,False,631,11,0.017432646592709985,69,0.10935023771790808,0,0.0,7,0.011093502377179081,32,0.05071315372424723,37,0.058637083993660855
animal,Basic,鱼,fish,False,824,14,0.01699029126213592,82,0.09951456310679611,3,0.0036407766990291263,1,0.0012135922330097086,38,0.04611650485436893,63,0.07645631067961164
animal,Basic,兔子,rabbit,False,415,5,0.012048192771084338,45,0.10843373493975904,1,0.0024096385542168677,1,0.0024096385542168677,10,0.024096385542168676,4,0.00963855421686747
tool,Basic,筷子,chopsticks,False,172,3,0.01744186046511628,1,0.005813953488372093,0,0.0,0,0.0,4,0.023255813953488372,6,0.03488372093023256
tool,Basic,勺子,spoon,False,114,2,0.017543859649122806,9,0.07894736842105263,0,0.0,0,0.0,1,0.008771929824561403,5,0.043859649122807015
building,Basic,房子,house,False,1263,42,0.0332541567695962,163,0.1290577988915281,7,0.0055423594615993665,9,0.007125890736342043,78,0.06175771971496437,143,0.11322248614410134
building,Basic,学校,school,False,370,36,0.0972972972972973,64,0.17297297297297298,3,0.008108108108108109,0,0.0,8,0.021621621621621623,9,0.024324324324324326
fruit,Basic,苹果,apple,False,234,8,0.03418803418803419,12,0.05128205128205128,0,0.0,1,0.004273504273504274,16,0.06837606837606838,15,0.0641025641025641
fruit,Basic,西瓜,watermelon,False,93,1,0.010752688172043012,6,0.06451612903225806,0,0.0,0,0.0,3,0.03225806451612903,4,0.043010752688172046
vegetable,Basic,西红柿,tomato,False,30,0,0.0,4,0.13333333333333333,0,0.0,0,0.0,0,0.0,3,0.1
vegetable,Basic,白菜,cabbage,False,41,1,0.024390243902439025,3,0.07317073170731707,0,0.0,0,0.0,3,0.07317073170731707,1,0.024390243902439025
dessert,Basic,蛋糕,cake,False,283,6,0.02120141342756184,44,0.15547703180212014,0,0.0,2,0.007067137809187279,17,0.06007067137809187,12,0.04240282685512368
dessert,Basic,饼干,biscuit,False,129,3,0.023255813953488372,5,0.03875968992248062,0,0.0,0,0.0,7,0.05426356589147287,8,0.06201550387596899
